movie_id,cast,crew,cast_size
11665,Steve Carell,Peter Segal,15
9928,Robin Williams,Chris Wedge,20
754,John Travolta,John Woo,22
1701,Nicolas Cage,Simon West,44
13027,Shia LaBeouf,D J  Caruso,20
9574,Robin Williams,Les Mayfield,16
2300,Michael Jordan,Joe Pytka,28
228150,Brad Pitt,David Ayer,20
41515,Dan Aykroyd,Eric Brevig,14
38317,Kevin James,Frank Coraci,22
161795,Stephen Dillane,Henry Jaglom,11
9705,John Travolta,Dominic Sena,53
330770,Max Brebant,Lucile Hadzihalilovic,7
9433,Alec Baldwin,Lee Tamahori,6
19959,Bruce Willis,Jonathan Mostow,44
11228,Sylvester Stallone,Rob Cohen,18
10197,Judi Dench,Rob Marshall,14
9562,Paul Walker,Richard Donner,16
9922,Kevin Costner,Kevin Costner,25
8870,Val Kilmer,Antony Hoffman,9
36970,Pierce Brosnan,Jacques Perrin,8
76649,Kit Harington,Paul W S  Anderson,36
9533,Anthony Hopkins,Brett Ratner,14
2023,Viggo Mortensen,Joe Johnston,16
953,Ben Stiller,Eric Darnell,21
36657,Patrick Stewart,Bryan Singer,19
8909,Angelina Jolie,Timur Bekmambetov,18
9802,Sean Connery,Michael Bay,25
2976,John Travolta,Adam Shankman,152
38365,Adam Sandler,Dennis Dugan,20
10555,Will Smith,Vicky Jenson,16
1125,Jamie Foxx,Bill Condon,23
4551,John Travolta,F  Gary Gray,59
612,Eric Bana,Steven Spielberg,19
37821,Katherine Heigl,Robert Luketic,34
2539,Adam Sandler,James L  Brooks,14
3172,Bruce Willis,Barry Levinson,10
37958,Mickey Rourke,Tarsem Singh,26
2026,Bruce Willis,Florent Emilio Siri,14
7450,Matt Damon,Gary Goldman,8
9425,Kurt Russell,Paul W S  Anderson,19
25769,Lou Taylor Pucci, lex Pastor,13
23685,Brendan Fraser,Henry Selick,100
9741,Bruce Willis,M  Night Shyamalan,40
211672,Sandra Bullock,Kyle Balda,17
8688,Nicolas Cage,Brian De Palma,23
10153,Dustin Hoffman,Barry Levinson,12
8676,Matthew McConaughey,Andy Tennant,17
4349,Jamie Foxx,Peter Berg,19
197,Mel Gibson,Mel Gibson,55
25,Jamie Foxx,Sam Mendes,20
10477,Kip Pardue,Renny Harlin,17
6947,Bryce Dallas Howard,M  Night Shyamalan,16
2675,Mel Gibson,M  Night Shyamalan,15
809,Mike Myers,Andrew Adamson,25
920,Owen Wilson,John Lasseter,48
7451,Vin Diesel,Rob Cohen,20
3595,Mel Gibson,Ron Howard,38
879,Robin Williams,Steven Spielberg,30
1573,Bruce Willis,Renny Harlin,44
9257,Samuel L  Jackson,Clark Johnson,16
1903,Tom Cruise,Cameron Crowe,14
587,Ewan McGregor,Tim Burton,43
10395,Jack Nicholson,Mike Nichols,15
57212,Tom Hiddleston,Steven Spielberg,32
2756,Ed Harris,James Cameron,20
9882,Denzel Washington,Edward Zwick,14
2270,Claire Danes,Matthew Vaughn,44
44564,Kevin James,Ron Howard,110
3132,Anthony Hopkins,Joel Schumacher,17
8814,Dwayne Johnson,Andrzej Bartkowiak,15
8427,Eddie Murphy,Betty Thomas,9
10592,Bruce Willis,Gregory Hoblit,20
11535,Chris Klein,John McTiernan,100
11258,Morgan Freeman,Mikael Salomon,10
201088,Chris Hemsworth,Michael Mann,19
107846,Sylvester Stallone,Mikael H fstr m,36
11371,Robert De Niro,Frank Oz,24
11517,Wesley Snipes,Joseph Ruben,15
214756,Mark Wahlberg,Seth MacFarlane,105
26428,Rachel Weisz,Alejandro Amen bar,73
9824,Ben Stiller,Kinka Usher,26
48988,Owen Wilson,Bobby Farrelly,13
9008,Al Pacino,Michael Mann,56
1844,Sean Connery,Jon Amiel,21
846,David Duchovny,Rob Bowman,46
425,Ray Romano,Chris Wedge,18
72976,Daniel Day Lewis,Steven Spielberg,71
603,Keanu Reeves,Lilly Wachowski,36
568,Tom Hanks,Ron Howard,27
41733,Robert Downey Jr ,Todd Phillips,18
227306,Jack O Connell,Angelina Jolie,79
9350,Sylvester Stallone,Renny Harlin,15
4244,Bruce Willis,Jon Turteltaub,57
196867,Quvenzhan  Wallis,Will Gluck,40
256591,Will Smith,Glenn Ficarra,37
1880,Patrick Swayze,John Milius,18
10483,Jason Statham,Paul W S  Anderson,13
550,Edward Norton,David Fincher,77
9292,Bruce Willis,Michael Lehmann,8
9947,Jennifer Garner,Rob Bowman,20
253412,Jason Clarke,Baltasar Korm kur,36
16577,Nicolas Cage,David Bowers,15
12160,Kevin Costner,Lawrence Kasdan,24
9072,Marlon Wayans,Keenen Ivory Wayans,6
3536,Matthew McConaughey,Jonathan Mostow,11
50359,Russell Brand,Tim Hill,11
1271,Gerard Butler,Zack Snyder,87
14306,Owen Wilson,David Frankel,36
11199,Tim Allen,Walt Becker,17
210577,Ben Affleck,David Fincher,72
710,Pierce Brosnan,Martin Campbell,20
136400,Denzel Washington,Baltasar Korm kur,44
10992,Jeff Goldblum,Lawrence Guterman,8
8916,Woody Allen,Eric Darnell,18
39514,Bruce Willis,Robert Schwentke,29
1538,Tom Cruise,Michael Mann,20
11128,Joaquin Phoenix,Jay Russell,10
13576,Michael Jackson,Kenny Ortega,10
39538,Matt Damon,Steven Soderbergh,18
14836,Dakota Fanning,Henry Selick,8
9509,Denzel Washington,Tony Scott,12
1487,Ron Perlman,Guillermo del Toro,21
77174,Kodi Smit McPhee,Sam Fell,21
4824,Bruce Willis,Michael Caton Jones,50
9620,Ben Affleck,John Woo,46
10771,Jackie Chan,Kevin Donovan,15
274479,Jennifer Lawrence,David O  Russell,67
7485,Mark Wahlberg,Antoine Fuqua,16
17610,Jack Black,Harold Ramis,24
22954,Morgan Freeman,Clint Eastwood,46
16558,Clive Owen,Tony Gilroy,33
16866,Dwayne Johnson,Jorge Blanco,18
11015,Penelope Ann Miller,Peter Hyams,27
17332,Robert Downey Jr ,Joe Wright,12
38321,Paul Bettany,Scott Stewart,11
10052,Kevin Costner,Tom Shadyac,23
9664,James Franco,Tony Bill,16
10384,James Spader,Walter Hill,12
11260,Eddie Murphy,Brian Robbins,16
9009,Jennifer Connelly,Walter Salles,12
11374,Matthew McConaughey,Ron Howard,51
2309,Brendan Fraser,Iain Softley,20
8285,Gabriel Macht,Frank Miller,15
210860,Johnny Depp,David Koepp,14
293660,Ryan Reynolds,Tim Miller,47
9713,Eddie Murphy,Stephen Herek,5
257445,Jack Black,Rob Letterman,54
1370,Sylvester Stallone,Peter MacDonald,16
72431,Bryan Cranston,Anthony Hemingway,16
8840,Dennis Quaid,Rob Cohen,18
10530,Irene Bedard,Mike Gabriel,16
1924,Christopher Reeve,Richard Donner,92
8488,Will Smith,Andy Tennant,17
35056,Tina Fey,Shawn Levy,29
8839,Christina Ricci,Brad Silberling,34
9315,Jodie Foster,Robert Schwentke,15
8984,Michael Douglas,Barry Levinson,12
11353,Steve Martin,Frank Oz,43
9618,Sylvester Stallone,Andrei Konchalovsky,16
175574,Owen Wilson,Jimmy Hayward,17
8077,Sigourney Weaver,David Fincher,25
8818,Madonna,Alan Parker,12
8195,Robert De Niro,John Frankenheimer,33
116149,Nicole Kidman,Paul King,68
80035,Ben Stiller,Akiva Schaffer,19
10632,Tommy Lee Jones,William Friedkin,5
12117,Anthony Hopkins,Jon Turteltaub,27
13260,Will Ferrell,Kent Alterman,16
3580,Angelina Jolie,Clint Eastwood,74
9566,Robert De Niro,Tony Scott,10
8202,Charlize Theron,Karyn Kusama,52
34314,Ray Liotta,Robert Butler,45
