id,title,runtime,genre
8688,Snake Eyes,98.0,Crime
10153,Sphere,134.0,Science Fiction
8676,Fools Gold,112.0,Romance
4349,The Kingdom,110.0,Thriller
197,Braveheart,177.0,Action
25,Jarhead,125.0,Drama
10477,Driven,116.0,Action
6947,The Village,108.0,Drama
2675,Signs,106.0,Drama
809,Shrek 2,93.0,Adventure
920,Cars,117.0,Animation
7451,xXx,124.0,Action
3595,Ransom,117.0,Action
879,Hook,144.0,Adventure
1573,Die Hard 2,124.0,Action
9257,SWAT,117.0,Action
1903,Vanilla Sky,136.0,Drama
587,Big Fish,125.0,Adventure
10395,Wolf,125.0,Fantasy
57212,War Horse,146.0,Drama
2756,The Abyss,139.0,Adventure
9882,The Siege,116.0,Drama
2270,Stardust,127.0,Adventure
44564,The Dilemma,111.0,Comedy
3132,Bad Company,116.0,Action
8814,Doom,105.0,Adventure
8427,I Spy,97.0,Action
10592,Harts War,125.0,Drama
11535,Rollerball,98.0,Action
11258,Hard Rain,97.0,Thriller
201088,Blackhat,133.0,Crime
107846,Escape Plan,115.0,Action
11371,The Score,124.0,Action
11517,Money Train,103.0,Action
214756,Ted 2,115.0,Comedy
26428,Agora,127.0,Adventure
9824,Mystery Men,121.0,Adventure
48988,Hall Pass,105.0,Comedy
9008,The Insider,157.0,Drama
1844,Entrapment,112.0,Romance
846,The X Files,121.0,Mystery
425,Ice Age,81.0,Animation
72976,Lincoln,149.0,History
603,The Matrix,136.0,Action
568,Apollo 13,140.0,Drama
41733,Due Date,95.0,Comedy
227306,Unbroken,137.0,Drama
9350,Cliffhanger,112.0,Action
4244,The Kid,104.0,Fantasy
196867,Annie,119.0,Comedy
256591,Focus,105.0,Romance
1880,Red Dawn,114.0,Action
10483,Death Race,105.0,Action
550,Fight Club,139.0,Drama
9292,Hudson Hawk,100.0,Action
9947,Elektra,97.0,Action
253412,Everest,121.0,Adventure
16577,Astro Boy,94.0,Animation
12160,Wyatt Earp,191.0,Drama
9072,Little Man,98.0,Comedy
3536,U571,116.0,Action
50359,Hop,95.0,Animation
14306,Marley  Me,115.0,Comedy
11199,Wild Hogs,100.0,Action
210577,Gone Girl,145.0,Mystery
710,GoldenEye,130.0,Adventure
136400,2 Guns,109.0,Action
10992,Cats  Dogs,87.0,Comedy
8916,Antz,83.0,Adventure
39514,RED,111.0,Action
1538,Collateral,120.0,Drama
11128,Ladder 49,115.0,Drama
13576,This Is It,111.0,Music
39538,Contagion,106.0,Drama
14836,Coraline,100.0,Animation
9509,Man on Fire,146.0,Action
1487,Hellboy,122.0,Fantasy
77174,ParaNorman,90.0,Family
4824,The Jackal,124.0,Action
9620,Paycheck,119.0,Action
10771,The Tuxedo,98.0,Thriller
274479,Joy,124.0,Drama
7485,Shooter,124.0,Action
17610,Year One,97.0,Comedy
22954,Invictus,134.0,Drama
16558,Duplicity,125.0,Romance
16866,Planet 51,91.0,Science Fiction
11015,The Relic,110.0,Horror
17332,The Soloist,109.0,Drama
38321,Priest,87.0,Action
10052,Dragonfly,104.0,Drama
9664,Flyboys,140.0,Action
10384,Supernova,91.0,Horror
11260,Meet Dave,90.0,Comedy
9009,Dark Water,105.0,Drama
11374,Edtv,122.0,Comedy
2309,Inkheart,106.0,Adventure
8285,The Spirit,103.0,Action
210860,Mortdecai,106.0,Comedy
293660,Deadpool,108.0,Action
9713,Holy Man,114.0,Drama
257445,Goosebumps,103.0,Adventure
1370,Rambo III,102.0,Action
72431,Red Tails,125.0,Drama
8840,DragonHeart,103.0,Fantasy
10530,Pocahontas,81.0,Adventure
1924,Superman,143.0,Action
8488,Hitch,118.0,Comedy
35056,Date Night,97.0,Comedy
8839,Casper,100.0,Fantasy
9315,Flightplan,98.0,Thriller
8984,Disclosure,123.0,Drama
11353,Bowfinger,97.0,Comedy
9618,Tango  Cash,104.0,Action
175574,Free Birds,91.0,Animation
8077,Alien,114.0,Science Fiction
8818,Evita,134.0,History
8195,Ronin,122.0,Action
116149,Paddington,95.0,Family
80035,The Watch,98.0,Comedy
10632,The Hunted,94.0,Drama
12117,Instinct,126.0,Drama
13260,SemiPro,91.0,Comedy
3580,Changeling,141.0,Crime
9566,The Fan,116.0,Drama
8202,on Flux,93.0,Action
34314,Turbulence,100.0,Action
42297,Burlesque,119.0,Drama
802,Lolita,153.0,Drama
10375,DTox,96.0,Action
36586,Blade II,117.0,Fantasy
8536,Superman II,127.0,Action
8046,Gigli,121.0,Drama
479,Shaft,99.0,Action
9444,Anastasia,94.0,Animation
261023,Black Mass,122.0,Crime
285923,Grindhouse,191.0,Thriller
39437,Beloved,172.0,Drama
1950,Lucky You,124.0,Drama
9767,The BreakUp,106.0,Romance
11631,Mamma Mia,108.0,Comedy
524,Casino,178.0,Drama
9907,Barnyard,90.0,Animation
808,Shrek,90.0,Adventure
72105,Ted,106.0,Comedy
10312,Patch Adams,115.0,Comedy
2022,Mr Deeds,96.0,Comedy
37686,Super 8,112.0,Thriller
10201,Yes Man,104.0,Comedy
9441,Stepmom,124.0,Drama
274167,Daddys Home,96.0,Comedy
388,Inside Man,129.0,Crime
2112,Payback,100.0,Drama
10329,Congo,109.0,Action
13811,Knowing,121.0,Action
8920,Garfield,80.0,Animation
60308,Moneyball,133.0,Drama
6950,Outbreak,127.0,Action
225574,NonStop,106.0,Action
2251,Unfaithful,124.0,Thriller
231,Syriana,128.0,Drama
9754,Firewall,105.0,Thriller
4421,GI Jane,125.0,Action
2649,The Game,129.0,Drama
588,Silent Hill,125.0,Horror
205587,The Judge,141.0,Drama
2116,Out of Time,105.0,Thriller
1907,The Beach,119.0,Drama
9879,Striptease,115.0,Drama
38579,Marmaduke,87.0,Family
44603,Hereafter,129.0,Drama
9691,Assassins,132.0,Action
72710,The Host,125.0,Action
10782,Basic,98.0,Action
9573,Blood Work,110.0,Crime
69668,Dream House,84.0,Drama
9770,Mad City,114.0,Action
38363,Fair Game,108.0,Drama
9923,Domino,127.0,Action
11863,Jade,95.0,Action
18501,Gamer,95.0,Action
329833,Zoolander 2,100.0,Comedy
47327,Drive Angry,105.0,Fantasy
10796,The One,87.0,Action
1900,Traffic,147.0,Thriller
198184,Chappie,120.0,Crime
4547,Panic Room,111.0,Crime
6415,Three Kings,114.0,Action
181283,Child 44,137.0,Crime
9896,Rat Race,112.0,Adventure
167,KPAX,120.0,Drama
1636,Bedazzled,93.0,Fantasy
